Agency,Recipient,Description,Date,SAVED
USAID,NATURE CONSERVANCY,SUSTAINABLE PROSPEROUS COMMUNITIES,3/1/2025,5449948.0
USAID,ACDI/VOCA,USAID F2F PROGRAM PROVIDES HIGHLY-QUALIFIED VOLUNTEER TECHNICAL ASSIST...,3/1/2025,5445744.0
USAID,CRS - USCCB,USAID F2F PROGRAM PROVIDES HIGHLY-QUALIFIED VOLUNTEER TECHNICAL ASSIST...,3/1/2025,5445744.0
USAID,IESC,USAID F2F PROGRAM PROVIDES HIGHLY-QUALIFIED TECHNICAL ASSISTANCE IN TA...,3/1/2025,5445744.0
USAID,LAND O'LAKES VENTURE37,USAID F2F PROGRAM PROVIDES HIGHLY-QUALIFIED VOLUNTEER TECHNICAL ASSIST...,3/1/2025,5445744.0
USAID,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,USAID F2F PROGRAM PROVIDES HIGHLY-QUALIFIED VOLUNTEER TECHNICAL ASSIST...,3/1/2025,5445744.0
USAID,COOPERATIVE LEAGUE OF THE UNITED STATES OF AMERICA,USAID F2F PROGRAM PROVIDES HIGHLY-QUALIFIED VOLUNTEER TECHNICAL ASSIST...,3/1/2025,5445744.0
USAID,"PARTNERS OF THE AMERICAS, INC.",USAID F2F PROGRAM PROVIDES HIGHLY-QUALIFIED VOLUNTEER TECHNICAL ASSIST...,3/1/2025,5437498.0
USAID,"PACT, INC.",THIS ACTIVITY AIMS TO CONTRIBUTE TO THE WIDER OBJECTIVE OF STRENGTHENI...,3/1/2025,5407294.0
USAID,CONG TY TNHH DOANH NGHIEP XA HOI IRD VN,"THE PROJECT GOAL OF C-GET ACTIVITY IS TO DEPLOY A PERSON-CENTERED, GEN...",3/1/2025,5400000.0
USAID,TECHNOSERVE,THE REGIONAL FOOD FORTIFICATION ACTIVITY IS BASED ON THE FOOD SYSTEMS ...,3/1/2025,5394971.0
DEPARTMENT OF STATE,FHI 360,"TO IMPROVE THE CAPACITY OF FARMERS, FISHERS, AGRICULTURE AND FISHERY F...",2/26/2025,5380391.43
DEPARTMENT OF STATE,NATIONAL ENDOWMENT FOR DEMOC,No description available,2/26/2025,5376418.0
DEPARTMENT OF STATE,THE MITRE CORPORATION,No description available,2/26/2025,5356039.71
USAID,ISAAA AFRICENTER,FEED THE FUTURE STRIGA SMART SORGHUM FOR AFRICA,3/1/2025,5355846.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,5348648.0
USAID,NRECA INTERNATIONAL,THE OBJECTIVE OF THE ZAMBIA ELECTRIC COOPERATIVE DEVELOPMENT PROGRAM I...,3/1/2025,5326185.0
USAID,"RAINFOREST ALLIANCE, INC.",THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO PROVIDE SUPPORT TO THE...,3/1/2025,5323481.0
DEPARTMENT OF EDUCATION,"BOSTON, CITY OF","A PARTNERSHIP FOR AN ACCESSIBLE, AFFORDABLE AND CULTURALLY AFFIRMING M...",2/12/2025,5304519.61
USAID,ONG BLETY,THE EMPOWER EAST ACTIVITY INTENDS TO REDUCE HIV-AIDS AMONG KEY POPULAT...,3/10/2025,5299602.0
USAID,IUCN,CONSERVING COASTAL ECOSYSTEMS ACTIVITY,3/1/2025,5291118.0
DEPARTMENT OF STATE,HIAS INC,No description available,2/26/2025,5285747.25
USAID,DAI GLOBAL LLC,BUSINESS EGYPT,3/1/2025,5273688.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SC ST COMM ON ALCOHOL/DRUG ABUSE,No description available,3/23/2025,5272122.0
DEPARTMENT OF STATE,CLIMATE POLICY INITIATIVE INC,No description available,2/26/2025,5272035.43
DEPARTMENT OF HEALTH AND HUMAN SERVICES,KY ST CABINET FOR HEALTH AND FAMILY SERVICES,No description available,3/23/2025,5270574.0
USAID,UWESO,USAID ORPHANS AND VULNERABLE CHILDREN NORTH EAST (OVC NORTH EAST) ACTI...,3/1/2025,5266240.0
USAID,"FREEDOM HOUSE, INC.",USAID PROMOTING RIGHTS AND JUSTICE (PRJ) IN THE GAMBIA,3/1/2025,5265976.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"KY ST HUMAN RESOURCES CABINET, OFFICE OF THE SECRETARY",No description available,3/23/2025,5256921.0
DEPARTMENT OF STATE,INTERNATIONAL ORGANIZATION FOR MIGRATION,No description available,2/26/2025,5251766.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",No description available,3/23/2025,5250237.0
USAID,PAN AMERICAN DEVELOPMENT FOUNDATION,IN ACCORDANCE WITH THE PROGRAM DESCRIPTION.,3/1/2025,5250000.0
DEPARTMENT OF DEFENSE,"University of Michigan–Ann Arbor, United States",[22-000002698] DECISION-MAKING WITH UNCERTAINTY FOR DOD INSTALLATIONS ...,3/23/2025,5250000.0
DEPARTMENT OF DEFENSE,Research Foundation for the State University of New York,USING CONCURRENT IN SITU MEASUREMENTS OF ANIMAL MOVEMENT AND TURBULENT...,3/23/2025,5250000.0
USAID,"PACT, INC.","THE GOAL OF THIS ACTIVITY IS TO IMPROVE HEALTH AND WELLBEING, SOCIOECO...",3/10/2025,5243840.0
DEPARTMENT OF STATE,ILGA-EUROPE,No description available,2/26/2025,5240035.0
USAID,WORLD RESOURCES INSTITUTE,THE PURPOSE OF THIS CORPORATIVE AGREEMENT IS PROVIDE SUPPORT TO THE BU...,3/1/2025,5228027.0
USAID,TANZANIA HEALTH PROMOTION SUPP ORT (THPS),THE ACTIVITY WILL STRENGTHEN HEALTH SERVICE DELIVERY IN POLICE AND PRI...,3/10/2025,5216062.0
DEPARTMENT OF EDUCATION,PHILADELPHIA SCHOOL DISTRICT OF,MASTERY CHARTER SCHOOLS 2023 TSL PROJECT,2/18/2025,5213043.0
USAID,Q2 IMPACT,THE ACTIVITY WILL PROMOTE INCLUSIVITY AND ACCESSIBILITY ACROSS A VARIE...,3/1/2025,5211340.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WI ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,No description available,3/23/2025,5178491.0
USAID,REACH OUT CAMEROON,THIS ACTIVITY IS A COOPERATIVE AGREEMENT AWARDED THROUGH COMPETITION R...,3/1/2025,5172120.0
DEPARTMENT OF EDUCATION,TOWSON UNIVERSITY,TOWSON UNIVERSITY (TU) PRIME (PREPARING AND RETAINING INCLUSIVE MARYLA...,2/12/2025,5149024.0
USAID,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,DATA FOR IMPACT,3/1/2025,5129608.0
USAID,NORTHERN RANGELANDS TRUST,THE OVERALL GOAL OF THE THIS ACTIVITY IS TO INCREASE THE ABILITY OF KE...,3/1/2025,5127161.0
USAID,THE CENTER FOR VICTIMS OF TORTURE,THE HSH PROGRAM IS DESIGNED TO ENHANCE THE EFFECTIVENESS OF LOCAL SERV...,3/1/2025,5110417.0
USAID,BRAC,NEW AWARD FOR CLIMATE APS FOR COMMUNITY-LED CLIMATE SMART INNOVATIONS ...,3/1/2025,5106140.0
USAID,PALLADIUM INTERNATIONAL LLC,TRR ALLIANCE FOR ETRADE DEVELOPMENT II. THE NEW ALLIANCE SEEKS TO CATA...,3/1/2025,5101773.0
USAID,KHETHIMPILO DRC,USAID ESPOIR 2030-LUALABA WILL WORK WITH THE GOVERNMENT OF THE DRC (GD...,3/10/2025,5100000.0
USAID,"CREATIVE ASSOCIATES INTERNATIONAL, INC",BURKINA FASO GOVERNANCE ACTIVITY WILL STRENGTHEN GOVERNMENT LEGITIMACY...,3/1/2025,5099215.0
USAID,"PACT, INC.",EMPOWERING THE TRUTH TELLERS ASIA INVESTIGATIVE REPORTING NETWORK (AIR...,3/1/2025,5090000.0
USAID,MICHIGAN STATE UNIVERSITY,"FEED THE FUTURE INNOVATION LAB FOR FOOD SECURITY POLICY, RESEARCH, CAP...",3/1/2025,5074180.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Maine St. Department of Health and Human Services,No description available,3/23/2025,5073327.0
USAID,KABUSHIKI KAISHA LIXIL,"PARTNERSHIP FOR LIVING BETTER: AFFORDABLE, ACCESSIBLE, ADAPTABLE SANIT...",3/1/2025,5066341.0
USAID,"HEALTH THROUGH WALLS, INC.",HEALTH ASSISTANCE FOR PRISONERS IN HAITI,3/10/2025,5057596.0
USAID,TRAG FOUNDATION,THE PURPOSE OF THIS ACTIVITY IS TO STRENGTHEN SERBIA’S CIVIC ACTIVISM ...,3/1/2025,5049508.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VT ST AGENCY FOR HUMAN SERVICES,No description available,3/23/2025,5048990.0
USAID,ASAPSU,"THE PROJECT WILL PROVIDE QUALITY HIV PREVENTION SERVICES, REACHING AND...",3/10/2025,5043941.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NH ST DEPARTMENT OF HEALTH & HUMAN SERVICES,No description available,3/23/2025,5028750.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,No description available,3/1/2025,5020000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FRED HUTCHINSON CANCER CENTER,No description available,3/23/2025,5000422.0
DEPARTMENT OF STATE,UNFPA,No description available,2/26/2025,5000000.0
DEPARTMENT OF STATE,UNITED NATIONS DEVELOPMENT PROGRAMME,THIS FUNDING WOULD DIRECTLY RESPOND TO THE WHITE HOUSE REPORT RECOMMEN...,2/26/2025,5000000.0
USAID,WORLDFISH,AQUACULTURE DEVELOPMENT ACTIVITY IN BURMA WORKING WITH SMALL-HOLDERS T...,3/1/2025,5000000.0
USAID,WORLD COUNCIL OF CREDIT UNIONS INC,THE GROW PROJECT IN UKRAINE,3/1/2025,5000000.0
USAID,FEDERATION INTERNATIONALE DES SOCIETES DE LA CROIX-ROUGE ET DU CROISSANT ROUGE,NEW ER4 AWARD TO SUPPORT DISASTER PREPAREDNESS AND RESPONSE IN EUROPE,3/1/2025,5000000.0
USAID,RTI INTERNATIONAL,USAID/UGANDA BIODIVERSITY FOR RESILIENCE ACTIVITY,3/1/2025,4998451.0
USAID,FREEDOM HOUSE,IN ACCORDANCE WITH THE PROGRAM DISCRIPTION.,3/1/2025,4994958.0
DEPARTMENT OF EDUCATION,SOUTHERN EDUCATION FOUNDATION INC,EAC REGION II--EAC SOUTH AT SOUTHERN EDUCATION FOUNDATION,2/13/2025,4990683.11
DEPARTMENT OF STATE,FREEDOM HOUSE,No description available,2/26/2025,4987388.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,THE NEW ACTIVITY WILL SEEK TO STRENGTHEN DEMOCRATIC VALUES AND DEMOCRA...,2/11/2025,4980000.0
DEPARTMENT OF STATE,GENERAL SECRETARIAT OF THE ORGANIZATION OF AMERICAN STATES,TO STRENGTHEN CHILE'S LABORATORY NETWORK TO MEET STEADY-STATE OPERATIO...,2/26/2025,4979989.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CT ST DEPT OF PUBLIC HEALTH,No description available,3/23/2025,4970322.0
USAID,FOIRN,THE “WELL-BEING AND TERRITORIAL MANAGEMENT IN THE RIO NEGRO AND XINGU ...,3/1/2025,4970000.0
USAID,BREEDLOVE FOODS INC,PRODUCTION OF THE HARVEST LENTIL PRO COMMODITY UNDER THE INTERNATIONAL...,3/1/2025,4966948.0
USAID,NATIONAL DEMOCRATIC INSTITUTE FOR INTERNATIONAL AFFAIRS,THE PURPOSE OF THIS ACTIVITY IS TO FURTHER STRENGTHEN THE OVERALL INTE...,3/1/2025,4966699.0
USAID,JOURNALISM DEVELOPMENT NETWORK INC,TO SUPPORT THE ROLE OF INVESTIGATIVE JOURNALISM IN PROMOTING GREATER G...,3/1/2025,4949463.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,California Dept of Public Health,No description available,3/23/2025,4916477.0
DEPARTMENT OF EDUCATION,TEACHERS COLLEGE COLUMBIA UNIVERSITY,"THE CULTURALLY-INFORMED, TRAUMA-SENSITIVE PRACTICES FOR YOUTH (CITY) P...",3/10/2025,4912096.0
DEPARTMENT OF AGRICULTURE,Oklahoma Dept of Human Services,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,4903569.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DISTRICT COLUMBIA GOVERNMENT,No description available,3/23/2025,4900703.0
USAID,WORLD HEALTH ORGANIZATION,THE PURPOSE OF THE “USAID ONE HEALTH” ACTIVITY IS TO PROVIDE THE GOVER...,3/1/2025,4900000.0
USAID,MANAGEMENT SCIENCES FOR HEALTH,HEALTH RESILIENCE,3/10/2025,4900000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF OHIO - DEPARTMENT OF HEALTH,No description available,3/23/2025,4895111.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, PENNSYLVANIA DEPARTMENT OF",No description available,3/23/2025,4888915.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,No description available,3/23/2025,4887691.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OK ST DEPARTMENT OF HEALTH,No description available,3/23/2025,4883021.0
USAID,UNIVERSITY OF ARIZONA,NIGER RESILIENCE AND AGRIBUSINESS MASTERS PROGRAM ACTIVITY'S PURPOSE W...,3/1/2025,4882460.0
USAID,CRS - USCCB,NEW ASSOCIATE AWARD FOR FEED THE FUTURE ETHIOPIA SEED ACTIVITY,3/1/2025,4874491.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",No description available,3/23/2025,4859745.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TX ST DEPARTMENT OF HEALTH,No description available,3/23/2025,4859545.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,No description available,3/23/2025,4851223.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AZ ST DEPARTMENT OF HEALTH SERVICES,No description available,3/23/2025,4850891.0
DEPARTMENT OF AGRICULTURE,Maryland Department of Agriculture,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,4850063.0
DEPARTMENT OF EDUCATION,SAINT LOUIS UNIVERSITY,"P2B WILL DESIGN AND IMPLEMENT CLASSROOM-BASED, RESIDENCY-LIKE DEGREE P...",2/10/2025,4849832.0
DEPARTMENT OF EDUCATION,University Of St. Thomas,"LEARN, WORK, AND EARN: “GROW YOUR OWN” PRACTICE-BASED RESIDENCY PATHWA...",2/7/2025,4839262.0
DEPARTMENT OF EDUCATION,THE CENTER FOR STRATEGIC LEADERSHIP AND ORGANIZATIONAL COHERENCE INC.,No description available,2/10/2025,4814408.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SD ST DEPARTMENT OF HEALTH,No description available,3/23/2025,4801094.0
USAID,"AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION: ACTR/ACCELS, INC.",THE UZBEKISTAN YOUTH WORKFORCE DEVELOPMENT AND ENTREPRENEURSHIP ACTIVI...,3/1/2025,4800000.0
USAID,FAMILY HEALTH INTERNATIONAL,NETWORKS FOR PEACE ACTIVITY,3/1/2025,4800000.0
DEPARTMENT OF DEFENSE,"University of California, San Diego, United States",D ENTERPRISE UCSD SIO,3/23/2025,4799507.0
USAID,INSTITUTO CENTRO DE VIDA,AWARD TO INSTITUTO CENTRO DE VIDA TO IMPLEMENT BIODIVERSITY PROGRAM IN...,3/1/2025,4778635.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,KS ST DEPARTMENT OF AGING,No description available,3/23/2025,4774186.0
DEPARTMENT OF EDUCATION,TRUSTEES OF INDIANA UNIVERSITY,EAC REGION III--MIDWEST AND PLAINS EQUITY ASSISTANCE CENTER,2/13/2025,4757440.8
DEPARTMENT OF STATE,INSTITUTE FOR WAR AND PEACE REPORTING -US,No description available,2/26/2025,4754102.84
USAID,INTERNEWS NETWORK,CAMBODIA MEDIA DEVELOPMENT (CMD) ACTIVITY,3/1/2025,4753720.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,4748175.32
USAID,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"BUILDING RESEARCH AND INNOVATION FOR DEVELOPMENT, GENERATING EVIDENCE,...",3/1/2025,4747438.0
USAID,HEALTH EQUITY INTERNATIONAL,IMPROVED HEALTH SERVICE DELIVERY (IHSD)-PARTNERSHIPS FOR EQUITY IN HEA...,3/10/2025,4746481.0
USAID,ACDI/VOCA,THE GOAL OF FEED THE FUTURE BANGLADESH LIVESTOCK AND NUTRITION ACTIVIT...,3/1/2025,4744679.0
DEPARTMENT OF EDUCATION,CHICO STATE ENTERPRISES,NORCAL GREAT TEACHER PIPELINE,2/10/2025,4743656.0
USAID,WILDLIFE CONSERVATION SOCIETY,THIS ACTIVITY WILL CONTRIBUTE TO EFFORTS THAT INCREASE COOPERATION AND...,3/1/2025,4742423.0
DEPARTMENT OF STATE,STICHTING ZOA,RESPOND TO CRITICAL PROTECTION NEEDS OF VULNERABLE MIGRANTS IN-TRANSIT...,2/26/2025,4741743.66
USAID,COLLABORATION ON INTERNATIONAL ICT POLICY FOR EAST AND SOUTHERN AFRICA LTD BY GUARANTEE,"""YOUR RIGHTS"" AIMS TO INCREASE HUMAN RIGHTS AWARENESS THROUGH STRATEGI...",3/1/2025,4741670.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,INDIANA STATE DEPARTMENT OF HEALTH,No description available,3/23/2025,4741123.0
DEPARTMENT OF AGRICULTURE,Minnesota Department of Agriculture,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,4732009.0
DEPARTMENT OF STATE,INSTITUTE FOR WAR AND PEACE REPORTING -US,No description available,2/26/2025,4724000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,4716722.0
USAID,INTERNATIONAL RESEARCH & EXCHANGE BO,OVERSEAS ASSISTANCE,3/1/2025,4713517.0
DEPARTMENT OF AGRICULTURE,Oregon Department of Human Services,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,4708863.0
USAID,RESEARCH TRIANGLE INSTITUTE,THE ABC+ ADVANCING BASIC EDUCATION IN THE PHILIPPINES (ABC+) PROJECT I...,2/12/2025,4700000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",No description available,3/23/2025,4698025.0
USAID,"CARGILL, INCORPORATED",TRANSFORMATIONAL STRATEGIES FOR FARM OUTPUT RISK MITIGATION (TRANSFORM...,3/1/2025,4697165.0
DEPARTMENT OF EDUCATION,CAL POLY CORPORATION,CAL POLY INSPIRE : INNOVATIVE SUPPORT AND PREPARATION OF INCLUSIVE AND...,2/12/2025,4676106.0
USAID,CENTRO DE APRENDIZAGEM E CAPACITACAO DA SOCIEDADE CIVIL - CESC,ADVANCING GIRLS EDUCATION (AGE) ACTIVITY,3/1/2025,4672738.0
USAID,"HEALTHPARTNERS, INC.",CDP FUNDS THREE CATEGORIES OF COOPERATIVE DEVELOPMENT; 1) COOPERATIVE ...,3/1/2025,4670000.0
ENVIRONMENTAL PROTECTION AGENCY,INTERNATIONAL LIVING FUTURE INSTITUTE,No description available,3/4/2025,4662182.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,No description available,2/26/2025,4656709.72
USAID,"MOTT MACDONALD, INC.",THE PLAY TO LEARN ACTIVITY GOAL IS TO INCREASE THE NUMBER OF CHILDREN ...,3/1/2025,4655524.0
USAID,"COUNTERPART INTERNATIONAL, INC.",RESILIENT GOVERNANCE IN NIGER ACTIVITY,3/1/2025,4648901.0
DEPARTMENT OF STATE,DOMESTIC AND FOREIGN MISSIONARY SOCIETY OF THE PROTESTANT EP,No description available,2/26/2025,4642286.0
USAID,FAMILY HEALTH INTERNATIONAL,ADOLESCENT GIRLS AND YOUNG WOMEN (AGYW) AND HIV CASE FINDING ACTIVITY,3/1/2025,4642103.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",No description available,3/23/2025,4637580.0
DEPARTMENT OF EDUCATION,HIGH POINT UNIVERSITY,PREPARE+: PIEDMONT-TRIAD RESIDENCY EDUCATOR PROGRAM AND RECRUITMENT EF...,2/12/2025,4628093.82
USAID,IESC,YOUTH ACTIVELY CREATE OPPORTUNITIES (YACO),3/1/2025,4625246.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SOUTH CAROLINA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,4625029.0
USAID,JSI RESEARCH & TRAINING INSTITUTE INC,THE PARTNERSHIPS PLUS TEAM SUPPORTS THIS GOAL THROUGH THE MANAGEMENT O...,3/10/2025,4622404.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF WISCONSIN SYSTEM/BOARD OF REGENTS,No description available,3/23/2025,4618169.0
USAID,BERYTECH FOUNDATION,THE LII ACTIVITY WILL PROVIDE AND LEVERAGE INVESTMENT CAPITAL AND BUIL...,3/1/2025,4608579.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME,THIS ACTIVITY WILL HELP IMPROVE THE CAPACITY OF THE NA AND PPAS TO BE...,3/1/2025,4600000.0
USAID,GROMADYANSKA MEREZHA OPORA,DO EPP,3/1/2025,4600000.0
USAID,CARE,THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO IMPROVE EARLY LEARNING...,3/1/2025,4600000.0
USAID,FOUNDATION UNITED NATIONS ASSOCIATION,USAID CIVIC AND ECONOMIC INTEGRATION PROGRAM,3/1/2025,4599690.0
ENVIRONMENTAL PROTECTION AGENCY,NATIONAL WILDLIFE FEDERATION,DESCRIPTION:THE AGREEMENT PROVIDES FUNDING TO NATIONAL WILDLIFE FEDERA...,2/22/2025,4550417.38
DEPARTMENT OF STATE,INTERNATIONAL ORGANIZATION FOR MIGRATION,No description available,2/26/2025,4536813.0
USAID,GHANA INSTITUTE OF MANAGEMENT AND PUBLIC ADMINISTRATION,No description available,3/1/2025,4511700.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TN ST DEPARTMENT OF HEALTH,No description available,3/23/2025,4510180.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,THE PURPOSE OF DAVID E PRICE LEGISLATIVE STRENGTHENING IS TO GIVE BURE...,2/10/2025,4500000.0
DEPARTMENT OF STATE,WORLD HEALTH ORGANIZATION,TO SUPPORT THE WHO UKRAINE SITUATION REGIONAL REFUGEE RESPONSE PLAN.,2/26/2025,4500000.0
USAID,THE ASIA FOUNDATION,THIS ACTIVITY AIMS TO EXPAND U.S. ENGAGEMENT WITH CHINA SPECIFIC TO TH...,3/1/2025,4500000.0
USAID,OFFICE OF THE UNITED NATIONS HIGH COMMISSIONER FOR HUMAN RIGHTS,"AS A PROJECT CONTRIBUTION, THIS ACTIVITY WILL SUPPORT OHCHR’S MANDATE....",3/1/2025,4500000.0
DEPARTMENT OF EDUCATION,WESTED,EAC REGION IV--WESTERN EDUCATIONAL EQUITY ASSISTANCE CENTER,2/13/2025,4499085.85
DEPARTMENT OF STATE,FREEDOM HOUSE,No description available,2/26/2025,4491141.0
DEPARTMENT OF EDUCATION,"MID-ATLANTIC EQUITY CONSORTIUM, INC",EAC REGION I--CENTER FOR EDUCATION EQUITY (CEE),2/13/2025,4486086.76
USAID,CORNELL UNIVERSITY,THIS FIVE-YEAR ASSOCIATE AWARD USES THE FEED THE FUTURE INNOVATION LAB...,3/1/2025,4485000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"Massachusetts General Hospital, The",No description available,3/23/2025,4479137.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CT ST DEPT OF PUBLIC HEALTH,No description available,3/23/2025,4477201.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,"TO STRENGTHEN KEY ELECTORAL INSTITUTIONS, CIVIL SOCIETY ORGANIZATIONS,...",2/11/2025,4476621.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HAWAII DEPARTMENT OF HEALTH,No description available,3/23/2025,4468311.0
DEPARTMENT OF EDUCATION,REACH UNIVERSITY,TEACHER APPRENTICESHIP PATHWAY FOR LOCAL TALENT (TAP LOCAL TALENT),2/12/2025,4467456.85
DEPARTMENT OF EDUCATION,CHARLOTTE-MECKLENBURG BOARD OF EDUCATION,CHARLOTTE-MECKLENBURG SCHOOLS OPPORTUNITY CULTURE TEACHER LEADER PATHW...,2/18/2025,4458467.0
USAID,"SOCIAL SOLUTIONS INTERNATIONAL, INC.",THE MELANESIAN YOUTH CLIMATE CORPS (MYCC) AIMS TO ENLIST YOUTH IN LEAD...,3/1/2025,4451281.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",No description available,3/23/2025,4448642.0
USAID,CNFA,USAID F2F PROGRAM PROVIDES HIGHLY-QUALIFIED VOLUNTEER TECHNICAL ASSIST...,3/1/2025,4440950.0
USAID,INTERNEWS NETWORK,THE MEDIA VIABILITY ACCELERATOR (MVA) FORWARD IS A PUBLIC-PRIVATE PART...,3/1/2025,4437975.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HARRIS, COUNTY OF",No description available,3/23/2025,4435194.0
DEPARTMENT OF EDUCATION,THE CENTER FOR STRATEGIC LEADERSHIP AND ORGANIZATIONAL COHERENCE INC.,No description available,2/12/2025,4429453.07
USAID,CRS - USCCB,INCLUSIVE NUTRITION AND EARLY CHILDHOOD DEVELOPMENT (INECD) ACTIVITY W...,3/1/2025,4422566.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,EL PASO CITY & COUNTY HEALTH DEPARTMENT,No description available,3/23/2025,4414724.0
USAID,YWCA,"THRIVE ORPHANS AND VULNERABLE CHILDREN (OVC) - DETERMINED, RESILIENT, ...",3/10/2025,4414282.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SOUTH CAROLINA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,4407863.0
DEPARTMENT OF STATE,"SAVE THE CHILDREN FEDERATION, INC.","VENEZUELAN REFUGEES AND MIGRANTS, COLOMBIAN RETURNEES AND HOST COMMUNI...",2/26/2025,4401772.92
DEPARTMENT OF STATE,HOWARD UNIVERSITY,No description available,2/26/2025,4400843.66
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VANDERBILT UNIVERSITY MEDICAL CENTER,No description available,3/23/2025,4396988.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,No description available,3/23/2025,4386670.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,STRONG AND INCLUSIVE MALDIVIAN DEMOCRACY (SIMD)ACTIVITY,2/12/2025,4366354.0
USAID,CARTER CENTER INC,ADVANCING WOMEN'S RIGHT OF ACCESS TO INFORMATION IN BANGLADESH (AWRTI)...,3/1/2025,4353382.0
DEPARTMENT OF EDUCATION,COMMUNITY TRAINING & ASSISTANCE CENTER INC,LEADERSHIP FOR ECTOR’S ACCELERATED PERFORMANCE (LEAP),2/18/2025,4332037.0
