Agency,Recipient,Description,Date,SAVED
DEPARTMENT OF DEFENSE,"Chatham County Schools, United States","SAVANNAH-CHATHAM COUNTY PUBLIC SCHOOL SYSTEM (SCCPSS) IS A SCHOOL DISTRICT BASED IN CHATHAM COUNTY, GEORGIA. AN ELECTED BOARD OF PUBLIC EDUCATION RUNS SCCPSS. THE SUPERINTENDENT IS DR. M. ANN LEVETT. THE SYSTEM HAS AN ENROLLMENT OF APPROXIMATELY 36,000 STUDENTS. IT OPERATES 27 ELEMENTARY SCHOOLS, EIGHT MIDDLE SCHOOLS, 8 K-8 SCHOOLS, 11 HIGH SCHOOLS, ONE VIRTUAL ACADEMY SERVING STUDENTS IN GRADES 1-11, AND SATELLITE FACILITIES, INCLUDING THE MASSIE HERITAGE INTERPRETATION CENTER AND THE OATLAND ISLAND EDUCATION CENTER. SCCPSS HAS STUDENTS CONNECTED TO FT. STEWART-HUNTER ARMY AIRFIELD, THE 165TH AIRLIFT WING, AND COAST GUARD AIR STATION SAVANNAH THROUGHOUT THE DISTRICT. LOCATED NEXT TO HUNTER ARMY AIRFIELD, PULASKI ELEMENTARY SCHOOL (PRE-K-5) HAS 52% MILITARY-CONNECTED STUDENTS AND A 24% HISPANIC STUDENT BODY. PULASKI HAS NO COURSE OFFERINGS IN WORLD LANGUAGE. THE CREATION OF THE MIGHTY MULTILINGUAL LAB FOR STUDENTS IN GRADES K-5 WILL ALLOW STUDENTS TO INCREASE THEIR KNOWLEDGE, SKILLS, AND INTEREST IN THE SPANISH LANGUAGE AND HISPANIC CULTURE. STUDENTS WILL LEARN TO SPEAK GRADE-APPROPRIATE SPANISH USING A DIGITAL LANGUAGE LAB AND EXPERIENCE THE HISPANIC CULTURE THROUGH VIRTUAL FIELD TRIPS. THE SPANISH LANGUAGE WILL BE EMBEDDED THROUGHOUT THE ENVIRONMENT AND COMMUNICATION PRACTICES OF THE SCHOOL. THE GOAL OF THE MIGHTY MULTILINGUAL LAB IS TO ENGAGE STUDENTS IN THE SPANISH LANGUAGE AND CULTURE TO PROMOTE THE DEVELOPMENT OF A FUTURE BILINGUAL AND BI-LITERATE WORKFORCE IN CRITICAL NEED AREAS, INCLUDING THE ARMED SERVICES AND TEACHING PROFESSIONS.",3/23/2025,1500000.0
DEPARTMENT OF STATE,AMERICAN BAR ASSOCIATION FUND FOR JUSTICE AND EDUCATION,"KM WOULD LIKE TO FACILITATE ACTIVITIES TO COMPLEMENT, SUPPORT, AND ENHANCE PROGRAM OFFICE AND POST EFFORTS WITH FOREIGN PARTNERS, INCLUDING STUDY VISITS FOR FOREIGN DELEGATIONS, FOREIGN PARTNER PARTICIPATION IN PROFESSIONAL CONFERENCES AND TRAINING, AND",2/26/2025,1498380.91
DEPARTMENT OF STATE,BINDA CONSULTING INTERNATIONAL LTD,No description available,2/27/2025,1498000.0
DEPARTMENT OF STATE,Stichting Vredesbeweging Pax Nederland,No description available,2/26/2025,1497215.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NH ST DEPARTMENT OF HEALTH & HUMAN SERVICES,No description available,3/23/2025,1489363.0
HOUSING AND URBAN DEVELOPMENT,HomeBase Center for Common Concerns,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,1488427.0
DEPARTMENT OF STATE,JRS USA,PROTECTION AND SECONDARY EDUCATION FOR SUDANESE REFUGEES AND CHADIANS IN EASTERN CHAD,2/26/2025,1487393.0
USAID,DAI GLOBAL LLC,LOCAL GOVERNANCE AND CIVIL SOCIETY (LGCS) UNDER USAID/LIBYA DEMOCRACY AND GOVERNANCE (DRG).,3/1/2025,1485926.0
DEPARTMENT OF EDUCATION,"NATIONAL CENTER FOR TEACHER RESIDENCIES, INC",CENTERING EQUITY: BUILDING & SCALING TEACHER RESIDENCIES,2/10/2025,1484643.0
DEPARTMENT OF STATE,American University of Afghanistan,No description available,2/26/2025,1483856.29
USAID,FORUM POUR UN DEVELOPPEMENT DURABLE ENDOGENE (FODDE),"FODDE-FTF NUTRITION-SENSITIVE AGRICULTURE ACTIVITY IN SENEGAL USAID IS COMMITTED TO IMPROVING NUTRITION IN SENEGAL BY PRIORITIZING PROGRAMS THAT STRENGTHEN THE COUNTRY'S CAPACITY, REINFORCE LOCAL GOVERNANCE, AND MOBILIZE DOMESTIC RESOURCES. FOR RESULTS TO SUSTAIN, ONE NEEDS TO ENGAGE THE LOCAL SYSTEM AS A WHOLE - GOVERNMENT, CIVIL SOCIETY, AND THE PRIVATE SECTOR - FOCUSING ON LOCAL ACTORS, THEIR INTERRELATIONSHIPS, AND THE INCENTIVES THAT GUIDE TH",3/1/2025,1483332.48
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SOUTH CAROLINA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,1482961.0
DEPARTMENT OF STATE,UNESCO,"TO FOSTER GIRLS' PARTICIPATION, LEARNING AND RETENTION IN SECONDARY-LEVEL STEM EDUCATION IN KENYA AND NAMIBIA.",2/26/2025,1482549.0
DEPARTMENT OF STATE,INTERNATIONAL ORTHODOX CHRISTIAN CHARITIES INC,TO IMPROVE THE QUALITY OF LIFE AND BUILD THE SELF-RELIANCE OF REFUGEES AND VULNERABLE JORDANIANS WITH IMPAIRMENTS AND DISABILITIES,2/26/2025,1482000.0
DEPARTMENT OF STATE,INTERNATIONAL REPUBLICAN INSTITUTE,No description available,2/27/2025,1480001.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VI DEPARTMENT OF HEALTH,No description available,3/23/2025,1479938.0
HOUSING AND URBAN DEVELOPMENT,Cloudburst Consulting Group,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,1478376.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TN ST DEPARTMENT OF HEALTH,No description available,3/23/2025,1477456.0
DEPARTMENT OF AGRICULTURE,Columbia River Inter-Tribal Fish Commission,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS TO EXPAND UPON PRIOR LOCAL FOOD PURCHASE ASSISTANCE PROGRAM WORK, AND TO PROVIDE AN OPPORTUNITY FOR STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS WHO DID NOT PARTICIPATE IN THE LOCAL FOOD PURCHASE ASSISTANCE PROGRAM TO ESTABLISH PROJECTS THROUGH LFPA25. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS WILL PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOMESTIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL TARGET DISTRIBUTION TO UNDERSERVED COMMUNITIES. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES), THE VALUE OF FOOD DISTRIBUTIONS TO DATE, AND THE NUMBER OF UNIQUE LOCATIONS DISTRIBUTING FOOD TO DATE. IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",3/17/2025,1476967.0
USAID,UNICEF,"THIS AWARD AIMS TO STRENGTHEN THE CAPACITY OF THE HUMANITARIAN SYSTEM TO DELIVER DISABILITY INCLUSIVE HUMANITARIAN ACTION, THROUGH ACTIVITIES ALIGNED WITH THE PILLARS OF WORK OF THE DISABILITY REFERENCE GROUP. THE THREE MAIN OUTCOMES THE PROGRAM HOPES TO ACHIEVE TO 1.STRENGTHEN DISABILITY INCLUSIVE LOCALIZATION THROUGH CAPACITY SHARING BETWEEN LOCAL/ NATIONAL OPDS AND HUMANITARIAN ACTORS. 2.STRENGTHEN CAPACITY OF MECHANISMS FOR COORDINATION ON DISABILITY INCLUSION AT COUNTRY LEVEL. 3.STRENGTHEN DISABILITY INCLUSION IN GLOBAL MECHANISMS FOR TECHNICAL SUPPORT TO COUNTRIES.",3/1/2025,1472516.0
HOUSING AND URBAN DEVELOPMENT,HomeBase Center for Common Concerns,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,1472426.0
DEPARTMENT OF STATE,STICHTING HIVOS,"TO FOSTER AND ELEVATE A DIVERSE MOVEMENT OF GIRL-CENTERED CLIMATE ACTION TO LEAD, SHAPE, AND INFORM EQUITABLE, INCLUSIVE CLIMATE POLICIES AND ACTIONS.",2/26/2025,1471495.0
DEPARTMENT OF STATE,PAN AMERICAN DEVELOPMENT FOUNDATION,No description available,2/26/2025,1471201.0
DEPARTMENT OF STATE,INTERNATIONAL ORGANIZATION FOR MIGRATION,No description available,2/26/2025,1468233.0
DEPARTMENT OF AGRICULTURE,Menominee Indian Tribe of Wisconsin,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS TO EXPAND UPON PRIOR LOCAL FOOD PURCHASE ASSISTANCE PROGRAM WORK, AND TO PROVIDE AN OPPORTUNITY FOR STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS WHO DID NOT PARTICIPATE IN THE LOCAL FOOD PURCHASE ASSISTANCE PROGRAM TO ESTABLISH PROJECTS THROUGH LFPA25. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS WILL PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOMESTIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL TARGET DISTRIBUTION TO UNDERSERVED COMMUNITIES. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES), THE VALUE OF FOOD DISTRIBUTIONS TO DATE, AND THE NUMBER OF UNIQUE LOCATIONS DISTRIBUTING FOOD TO DATE. IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",3/17/2025,1464260.0
DEPARTMENT OF STATE,"HEARTLAND ALLIANCE INTERNATIONAL, LLC",No description available,2/27/2025,1463231.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"FEDERATED STATES OF MICRONESIA, OFFICE OF HEALTH SVCS",No description available,3/23/2025,1458323.0
DEPARTMENT OF STATE,INTERNATIONAL MEDICAL CORPS,No description available,2/26/2025,1457248.92
DEPARTMENT OF STATE,NATIONAL CENTER FOR STATE COURTS,"PROGRAM WILL PROVIDE TECHNICAL ASSISTANCE TO INCREASE LAW ENFORCEMENT'S CAPABILITY TO PREVENT, MITIGATE, AND RESPOND TO GENDER-BASED VIOLENCE IN MOROCCO.",2/26/2025,1455257.67
DEPARTMENT OF STATE,INTERNATIONAL REPUBLICAN INSTITUTE,No description available,2/26/2025,1455213.0
DEPARTMENT OF STATE,INTERNATIONAL ALERT,No description available,2/26/2025,1453416.52
DEPARTMENT OF STATE,GLOBAL NETWORK OF WOMEN PEACEBUILDERS INC,"THE LEADERSHIP OF LOCAL WOMEN INCLUDING YOUNG WOMEN AND OTHER HISTORICALLY MARGINALIZED GROUP IN PREVENTING, RESOLVING, AND RECOVERING FROM CONFLICT, VIOLENT EXTREMISM (VE) AND GENDER-BASED VIOLENCE (GBV) IS AMPLIFIED AND SUSTAINED.",2/26/2025,1452804.4
USAID,PIRAMAL SWASTHYA MANAGEMENT AND RESEARCH INSTITUTE,THE TUBERCULOSIS (TB) LOCAL ORGANIZATIONS NETWORK (LON) IS A KEY COMPONENT OF THE USAID GLOBAL ACCELERATOR TO END TUBERCULOSIS. USAID’S INVESTMENTS ARE MOST SUCCESSFUL WHEN THEY ARE COUPLED AND ALIGNED WITH STRONG COMMITMENTS FROM THE GOVERNMENT OF INDIA (GOI) AND LOCAL PARTNERS.  THE PURPOSE OF THIS ACTIVITY IS TO STRENGTHEN THE ABILITY OF THE GOVERNMENT OF INDIA (GOI) AND STATE GOVERNMENTS TO PROVIDE TB SERVICES TO TRIBAL POPULATIONS ACROSS THE COUNTRY AS ARTICULATED THROUGH THE NATIONAL STRATEGIC PLAN OF INDIA’S NATIONAL TB ELIMINATION PROGRAM (NTEP).,3/10/2025,1450000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OK ST DEPARTMENT OF HEALTH,No description available,3/23/2025,1448733.0
DEPARTMENT OF STATE,AMERICAN BAR ASSOCIATION FUND FOR JUSTICE AND EDUCATION,No description available,2/27/2025,1448436.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NASHVILLE-DAVIDSON COUNTY METROPOLITAN GOVERNMENT,No description available,3/23/2025,1447100.0
USAID,SESAME WORKSHOP,USAID'S PROMOTING EDUCATION FOR EARLY LEARNERS (PEEL) ACTIVITY WILL IMPROVE LEARNING OUTCOMES OF MARGINALIZED CHILDREN BY CREATING AN ENABLING ENVIRONMENT FOR CHILDREN IN MARGINALIZED GROUPS,3/1/2025,1446596.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DE ST OFFICE OF THE GOVERNOR,No description available,3/23/2025,1444481.0
USAID,GFM3,"THE OBJECTIVE OF THIS PROGRAM IS TO SUPPORT A RECIPIENT, AN IVORIAN ENTITY CALLED GENERATION FEMME DU 3IEME MILLENAIRE (GFM3), SEEKING TO IMPROVE HEALTH, ECONOMIC STATUS, EDUCATION, AND OTHER SOCIAL PROTECTION NEEDS IN HIGH HIV BURDEN COMMUNITIES FOR OVC, THEIR PRIME CAREGIVERS AND YOUTH IN CÔTE D’IVOIRE, UNDER AN ACTIVITY CALLED “IMPACT4LIFE”.",3/10/2025,1441670.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,1439497.0
USAID,PATH,USAID/ETHIOPIA SURVEILLANCE FOR MALARIA ELIMINATION (S4ME) ACTIVITY,3/1/2025,1434537.0
USAID,ASSOCIATION CHS ALLIANCE,THIS ACTIVITY WILL PROVIDE FUNDING TO FOSTER MORE ACCOUNTABLE AND LOCALIZED APPROACH TO HUMANITARIAN ACTION TO MEET THE EXPECTATION OF PEOPLE AFFECTED BY CRISIS BY DOING RESEARCH IN FOUR COUNTRIES ON HOW COMMUNITIES PERCEIVE THAT ORGANIZATIONS ARE FULFILLING CORE HUMANITARIAN STANDARDS.,3/1/2025,1433534.0
USAID,DECENTRALISATION-DROITS HUMAINS-DEVELOPPEMENT LOCAL (3D),"THE OVERALL OBJECTIVE OF THE PROJECT IS TO IMPROVE THE DIET ADEQUACY OF WOMEN AND CHILDREN UNDER FIVE IN THE SENEGAL RIVER VALLEY. IT WILL BE IMPLEMENTED IN 60 VILLAGES/HAMLETS IN 12 COMMUNES IN THE DEPARTMENTS OF PODOR (SAINT LOUIS REGION), MATAM AND KANEL (MATAM REGION), SELECTED AFTER MAPPING VULNERABILITY TO MALNUTRITION.",3/1/2025,1433271.82
DEPARTMENT OF HEALTH AND HUMAN SERVICES,KS ST DEPARTMENT OF HEALTH & ENVIRONMENT,No description available,3/23/2025,1432349.0
DEPARTMENT OF STATE,INTERNEWS NETWORK,No description available,2/26/2025,1427619.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"NATIONAL ASSOCIATION OF COMMUNITY HEALTH CENTERS, INC",No description available,3/23/2025,1425388.0
DEPARTMENT OF STATE,"INTERNATIONAL RESCUE COMMITTEE, INC.",No description available,2/26/2025,1424918.0
DEPARTMENT OF STATE,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,"TO CATALYZE FINANCE TO SPEED THE JUST ENERGY TRANSITION BY ENABLING HOST COUNTRIES TO GENERATE AND MARKET HIGH INTEGRITY CARBON CREDITS RESULTING FROM THEIR ACCELERATED, BROAD-BASED DECARBONIZATION OF THE ELECTRIC POWER SECTOR.",2/26/2025,1415012.0
USAID,INVISIBLE CHILDREN INC.,CAR P2P E MA TÈRÈ EMPOWERING CENTRAL AFRICAN YOUTH PEACEBUILDERS IN THE MBOMOUS REGION,3/1/2025,1414573.0
DEPARTMENT OF STATE,INTERNATIONAL RESEARCH & EXCHANGE BO,No description available,2/26/2025,1410107.03
USAID,PROJECT HARMONY INC,ENGAGING YOUTH IN DECISION-MAKING ROLES THAT IMPACT THEIR LIVES AND THE FUTURE OF THEIR COUNTRY IS AN IMPERATIVE TO THE ADVANCEMENT OF A HEALTHY AND RESILIENT DEMOCRACY IN ARMENIA. ARMENIA CIVICS FOR ENGAGEMENT (ACE) REPRESENTS AN OPPORTUNITY TO ENABLE YOUTH TO GAIN THE NECESSARY ASSETS TO DEVELOP A SENSE OF AGENCY AS CONTRIBUTING MEMBERS OF A DEMOCRATIC SOCIETY WITHIN AN ENABLING ECOSYSTEM THAT WILL NURTURE THEM AS CITIZENS OF THE FUTURE.,3/1/2025,1405900.0
DEPARTMENT OF LABOR,Solidarity Center,No description available,3/16/2025,1405388.0
HOUSING AND URBAN DEVELOPMENT,Local Initiatives Support Corp,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,1403883.0
HOUSING AND URBAN DEVELOPMENT,Technical Assistance Collaborative,No description available,2/26/2025,1403040.0
DEPARTMENT OF STATE,OCDE,No description available,2/27/2025,1402975.0
USAID,"MAISHA HEALTHCARE, INC",SCALING A DIGITAL APPROACH TO TARGETED MALARIA TREATMENT,3/1/2025,1400000.0
USAID,STICHTING BRAC INTERNATIONAL,SCALING GOVERNMENT-LED GRADUATION PROGRAMS TO ALLEVIATE POVERTY,3/1/2025,1400000.0
USAID,OBSHTESTVENNOE OBAEDINENIE INSTITUT POLITIKI RAZVITIYA,"THIS NEW LOCAL GOVERNANCE ACTIVITY WILL EXPAND EFFECTIVE SERVICE DELIVERY OF CITIZEN-PRIORITIZED SERVICES THROUGHOUT THE KYRGYZ REPUBLIC BY INCREASING LOCAL SELF-GOVERNMENTS’ (LSGS) CAPACITY TO PLAN, OVERSEE, AND IMPLEMENT SERVICE DELIVERY, STRENGTHEN LSGS PROMOTION OF LOCAL ECONOMIC DEVELOPMENT, AND INCREASE LSGS ABILITY TO FINANCE SERVICE DELIVERY.",3/1/2025,1400000.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,"THE USAID/GHANA DEMOCRACY RIGHTS AND GOVERNANCE (DRG) OFFICES’ NEW POLITICAL ACCOUNTABILITY ACTIVITY SEEKS TO SUPPORT GHANAIAN CIVIL SOCIETY ORGANIZATIONS AND PLATFORMS TO ADVOCATE FOR A MORE ACCOUNTABLE POLITICAL REGIME, INCLUDING SUPPORT FOR MAYORAL ELECTIONS AND BETTER RESPONSIVENESS OF POLITICAL ACTORS AT THE LOCAL LEVEL; AND ADDRESS ISSUES OF ELECTORAL REFORMS, SEPARATION OF POWERS AND POLITICAL DECENTRALIZATION AS IMPORTANT FACTORS IN THE BID TO STRENGTHEN ACCOUNTABILITY IN GHANA’S POLITICAL SYSTEM.",2/11/2025,1398221.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SAN ANTONIO METROPOLITAN HEALTH DISTRICT,No description available,3/23/2025,1398075.0
USAID,CARE,"NEW FIVE YEAR PROJECT TO INCREASE REPRESENTATION, PARTICIPATION, AND LEADERSHIP OF WOMEN AND GIRLS IN HUMANITARIAN SETTINGS AND INCREASE ACCESS TO HUMANITARIAN FINANCING TO WOMEN LEAD ORGANIZATIONS.",3/1/2025,1393814.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NATIONAL URBAN LEAGUE,No description available,3/23/2025,1393556.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SE,No description available,3/23/2025,1391421.0
USAID,THE AFRICAN CENTRE FOR TREATMENT AND REHABILITATION OF TORTURE VICTIMS,"COUNTERING TORTURE ACTIVITY AIMS TO PREVENT AND COMBAT TORTURE IN UGANDA BY IMPROVING IMPLEMENTATION OF LAWS, POLICIES AND MECHANISMS, AND TO SUPPORT TORTURE SURVIVORS TO ACCESS JUSTICE AND REHABILITATION SERVICES.",3/1/2025,1384522.0
DEPARTMENT OF STATE,THE WASHINGTON CENTER FOR INTERNSHIPS & ACADEMIC SEMINARS,DEVELOP NEW AND DIVERSE TALENT TO BECOME DSS SPECIAL AGENTS IN THE FOREIGN SERVICE,2/26/2025,1384236.09
DEPARTMENT OF AGRICULTURE,Alaska Department of Education and Early Development,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNMENTS TO PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOME STIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL BE DISTRIBUTED TO SCHOOLS AND CHILD CARE INSTITUTIONS PARTICIPATING IN THE NATIONAL SCHOOL LUNCH PROGRAM OR CHILD AND ADULT CARE FOOD PROGRAM. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), AND THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES). IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES AND TERRITORIES MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",-,1383132.4
DEPARTMENT OF STATE,"BETHANY CHRISTIAN SERVICES USA, LLC",No description available,2/26/2025,1380423.65
DEPARTMENT OF EDUCATION,WILLIAM CAREY UNIVERSITY,STEPPING UP STEM AT WCU,2/10/2025,1378659.0
USAID,WEST AFRICA NETWORK FOR PEACE BUILDING NIGERIA,USAID PARTNER II WITH WANEP TO ESTABLISH EFFICIENT EARLY WARNING AND EARLY RESPONSE (EWER) STRUCTURES FOR CONFLICT MITIGATION.,3/1/2025,1376106.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MS ST DEPARTMENT OF HEALTH,No description available,3/23/2025,1375019.0
HOUSING AND URBAN DEVELOPMENT,Technical Assistance Collaborative,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,1374355.0
USAID,FHI DEVELOPMENT 360 LLC,THE GOAL OF THE PROGRAM IS TO ACCELERATE CIVIL SOCIETY EFFORTS TO ADVANCE INCLUSIVE RIGHTS-BASED CHANGE OF POLICIES AND PRACTICES THAT RESPOND TO LOCALLY-DRIVEN DEMANDS FOR ACCOUNTABILITY AND TRANSPARENCY IN GOVERNANCE AND PUBLIC SERVICE DELIVERY.,3/1/2025,1373539.0
DEPARTMENT OF STATE,HANDICAP INTERNATIONAL INC A/K/A HANDICAP INTERNATIONAL,TO SUSTAIN THE SELF-EMPOWERMENT OF REFUGEES WITH DISABILITIES AND VULNERABLE DISPLACED PEOPLE THROUGH ENHANCED SOCIAL INCLUSION AND TO ENSURE SAFETY OF THE WHOLE REFUGEE COMMUNITY THROUGH EXPLOSIVE ORDNANCE RISK AWARENESS.,2/26/2025,1367064.28
USAID,ARIZONA STATE UNIVERSITY,THE PURPOSE OF THE HEPI PROGRAM IS TO DEVELOP A SUSTAINABLE PARTNERSHIP BETWEEN U.S. AND INDONESIAN HIGHER EDUCATION INSTITUTIONS AS WELL AS THE PRIVATE SECTOR TO ENHANCE STUDENT CRITICAL SKILLS AND COMPETENCIES THROUGH HIGH QUALITY INTERNATIONALLY RECOGNIZED DEGREES AND INDUSTRY CREDENTIALS.,3/1/2025,1366356.0
DEPARTMENT OF STATE,"GLOBAL CENTER ON COOPERATIVE SECURITY, INC.",TO SUPPORT NIGERIAN CIVILIAN SECURITY AGENCIES TO DEVELOP AND/OR UPDATE CRISIS RESPONSE PLANS AND BUILD THEIR CAPACITY TO REALIZE EFFECTIVE INTER-AGENCY COORDINATION IN CRISIS MANAGEMENT AND RESPONSE.,2/26/2025,1364519.0
